review,rate
do not follow stale standard connect dot storyline which have become commonplace movie explore seamy underbelly of criminal world,1
funny yet,1
overbearing over top,0
robert duvall,1
rich sudden wisdom,1
act direct clear washington most certainly have new career ahead of,1
memory,1
respectable new one,1
yet grating showcase,0
hate tear eye away image long enough read subtitle,1
addition sport one of bad title recent cinematic history,0
gender bend comedy generally quite funny,1
build some robot haul theater with late show put on own mystery science theatre tribute what almost certainly down bad only killer website movie of other year,0
do not work concert,0
direction have fluid no nonsense authority performance harris phifer cam ron seal deal,1
would have like more if have just one step far,1
too harsh work piece of storytelling,0
hawaiian shirt,1
take classic story cast attractive talented actor use magnificent landscape create feature film wickedly fun watch,1
provide keen pleasure,1
altogether too slight call kind of masterpiece,0
grievous but,0
after laugh once maybe twice will have completely forget movie time get back car parking lot,0
hopeless,0
unpretentious charming quirky original,1
nicks steinberg match own creation pure venality give old college try,0
very well write very well act,1
not many conclusive answer film,0
clumsy dialogue heavy handed phoney feel sentiment,0
prove lovely trifle unfortunately little too love with own cuteness,0
bring tissue,1
film mid low budget betray surprisingly shoddy makeup work,0
bring proper conviction role jason bourne,1
young woman of great charm generosity diplomacy,1
something poignant about artist of plus year take effort share impression of life loss time art with,1
just too silly,0
cinematic bon bon,1
supremely unfunny unentertaining watch middle age,0
lively engaging examination of how similar obsession can dominate family,1
irritate,0
collapse,0
so many of challenge pose one can forgive film flaw,1
serve workable primer region recent history would make terrific grade learning tool,1
wide awake way through,1
vainly think,0
one big excuse play one lewd scene after another,0
effective if stick with,1
underscore importance of family tradition familial community,1
deliver what promise look wild ride ensue when brash young man set out conquer online world with laptop cell phone sketchy business plan,1
watch digital effect heavy suppose family friendly comedy,0
absolutely completely ridiculous,0
very tasteful rock roll movie,1
movie almost completely lack suspense surprise consistent emotional conviction,0
realistic portrayal,1
if try grab lump of play doh hard liman try squeeze story,0
well think stunt,1
reveal how important special talent can when put service of of other,1
no lika,0
welcome relief,1
promise of digital filmmaking,1
just one could easily wait pay per view dollar,0
justify theatrical simulation of death camp of auschwitz birkenau,0
extraordinary faith,1
have see film so willing champion fallibility of human heart,1
sometimes beautiful adaptation,1
about interesting,0
caruso sometimes descend into sub tarantino cuteness but most part make sure salton sea work way good noir should keep tight nasty,1
overlong bombastic,0
derivative hammily,0
most audacious outrageous,1
good moment,1
disney again ransack archive quick buck sequel,0
final beautiful scene,1
some movie suck despite flaw,1
eat meddle argue laugh kibbitze fight,1
problem with film whether ambition laudable justify theatrical simulation of death camp of auschwitz birkenau,0
compelling,1
infectiously,1
picture run mere minute but no glance,1
think of dog of movie,0
remarkable procession of sweeping picture have reinvigorate romance genre,1
so so film could have much well,0
passable date film,1
imax short,1
hate,0
pleasant enough ooze with attractive man,1
no one involve save dash show slight aptitude act,0
wildly uneven movie,0
poke provoke take expressionistic license,1
like one of spear music video content except on least more minute bad have pay if want see,0
with color depth rather good time,1
silly outrageous ingenious,1
able hit on year old when over,0
story of trouble every day so sketchy amount little more preliminary note science fiction horror film movie fragmentary narrative style make piece story together frustrating difficult,0
year good most unpredictable comedy,1
start off so bad feel like run out scream,0
man black achieve ultimate insignificance sci comedy spectacle whiffle ball epic,0
elvira fan could hardly ask more,1
good one,1
plod picture,0
character drama which never reach satisfy conclusion,0
lose translation time,0
speak while force ponder anew what movie can,1
enable shafer navigate space large small with considerable aplomb,1
plot cobble together largely flat uncreative moment,0
inane awful,0
tell scatter fashion,0
take chance bold studio standard,1
believe not jason actually take backseat own film special effect,0
only thing fear about fear dot com,0
whole mess,0
manage infuse rocky path sible reconciliation with flash of warmth gentle humor,1
work surprisingly sensitive script write gianni romoli ozpetek avoid most of pitfall would expect such potentially sudsy set up,1
résumé load with credit like girl bar,0
enjoy ride,1
very little add beyond dark vision already relay superb recent predecessor,0
yes snail like pace,0
extremely unpleasant film,0
if not entirely persuasive do give exposure some talented performer,1
whole affair true story not feel incredibly hokey,0
thing see,0
poignant leaven,1
breathless anticipation,1
significantly well,1
predictable tide,0
bewilderingly brilliant entertaining,1
smooth professional,1
unassuming subordinate,0
horror,0
technically superb film,1
positive change tone seem have recharge,1
pay earnest homage turntablist beat juggler old schooler current innovator,1
dim,0
vicious absurd,0
because act so goofy time,0
kinetic life so teem even cranky adult may rediscover quivering kid inside,1
once laughable compulsively watchable,1
merit minute length,1
value respect term epic cinema,1
dentist waiting room,0
show honest emotion,1
amazingly lame,0
confession may not straightforward bio,0
seem disappointingly thin slice of low class london life despite title amount surprisingly little,0
story bogus,0
comic gem delightful derivative,1
spare wildlife,1
ugly shabby digital photography,0
understand difference dumb fun just plain dumb,0
traditionally structure,1
frida not much different many hollywood romance,0
do point way adventurous indian filmmaker toward crossover into nonethnic market,1
worth price of admission if gory mayhem idea of good time,1
produce jerry bruckheimer direct joel schumacher reflect bad of shallow style wildly overproduced inadequately motivate every step of way demographically target please every one no one,0
carnage,0
degrade handheld blair witch video cam footage,0
second fiddle,0
about folly of superficiality,0
serve auto critique clumsiness own most damning censure,0
tedious norwegian offering which somehow snag oscar nomination,0
esther kahn unusual but unfortunately also irritate,0
stylish exercise,1
halfway through picture begin hate,0
setup so easy border on facile,0
thoroughly awful movie,0
take hold grip hard,1
look smeary blurry point of distraction,0
picture fascinating byway,1
gun cheatfully film martial art disintegrate bloodsucker computer effect jagged camera move,0
breezy distracted rhythm,0
mess,0
evanescent seamless sumptuous stream,1
slick manufacture claim street credibility,1
take care nicely perform quintet of actress,1
valuable message,1
no small part thank lau,1
two guy who desperately want quentin tarantino when grow up,0
no new plot conception,0
essentially collection of bit,0
do not bode well rest of,0
elevate kind of movie,1
usual bad,0
hugh grant who have good line charm,1
arrive early stay late,1
pan american movie with moment of genuine insight into urban heart,1
could have use two hour well watch john malkovich again,0
shoot artful watery tone of blue green brown,1
unorthodox little film noir organize crime story include one of strange,1
considerable aplomb,1
act diane lane richard gere,1
scant,0
admittedly middling film,1
too ludicrous,0
rock fighting skill more line with steven seagal,1
rich full,1
warm water under red bridge celebration of feminine energy tribute power of woman heal,1
use sensational real life century crime metaphor,1
home movie will leave want more not mention leave with some laugh smile on face,1
film retain ambiguity make well worth watch,1
ultra cheesy dialogue,0
add depth resonance,1
sensational,1
huge screen format make old fashioned nature film educate viewer with word picture while entertain,1
handsome but unfulfilling suspense drama,0
not very good either,0
most charmless,0
make unusual but pleasantly haunt debut behind camera,1
fine rousing rate family film aim mainly little kid but with plenty of entertainment value keep grown up squirm seat,1
everything about girl can not swim even passage of sensitive observation feel secondhand familiar not good way,0
cast spot on,1
ugly digital video,0
can only love player bring fore gifted but no nonsense human still inestimable contribution have make share history,1
rather choppy,0
become one more dumb high school comedy about sex gag prom date,0
demand receive excellent performance,1
xxx blast of adrenalin,1
pure escapism,1
create film not merely about kick undead,1
about love culture,1
bad,0
horrify,0
mourn tragedy private,0
action scene poorly deliver,0
so bad,0
so bad,0
minute short,1
dabble around never gain much momentum,0
masterpiece,1
lot do with casting of juliette binoche sand who bring role pale dark beauty characteristic warmth,1
do not leave with much,0
good act,1
like most of jaglom film some of honestly affect,1
marivaux rhythm mira sorvino limitation classical actress,0
less successful on other level,0
still quite worth see,1
intelligent move,1
appear miserable throughout swagger through scene,0
man,1
accomplish what few sequel can,1
clunky movie approach detail chapter life of celebrate irish playwright poet drinker,0
not sure which half of dragonfly bad part where nothing happen part where something happen,0
exhilarate funny fun,1
bind appeal woman look howlingly trashy time,1
never quite make grade tawdry trash,0
have right stuff silly summer entertainment have enough laugh sustain interest end,1
endearing care,1
seagal who look more like danny aiello day,1
enactment however fascinating may history too crude serve work especially well,0
not everything ambitious comic escapade work but coppola along with sister sofia real filmmaker,1
dehumanizing ego destroy process,0
taboo subject matter,0
see,1
utterly incompetent conclusion,0
have always part of most part wilde droll whimsy help earnest overcome weakness parker creative interference,1
find root gai character avoid fate have befall every other carmen,1
run cover,0
low budget,0
deceptively casual ode,1
walk out mutter word like horrible terrible,0
help chicago make transition stage screen with considerable appeal intact,1
have ellen pompeo sit next ride,1
giant step backward,0
true fan,1
just copy,0
quite rich exciting,1
luminous interview amazingly evocative film three decade ago,1
lynch jeunet von trier while fail find spark of own,0
can not help but get catch up thrill of company astonishing growth,1
frozen tundra soap opera,0
showdown,1
simply too overdone,0
greatly,1
free,1
intriguing specie,1
try evade,0
scherfig who have have successful career,1
watch leave giddy,1
beautifully act direct clear washington most certainly have new career ahead of if so choose,1
far tame,0
outrageously creative action,1
most purely enjoyable satisfying evening,1
never question of how thing will turn out,0
only open new wound,0
despite suffer sense of humour failure,0
story,1
addition hoffman powerful act clinic,1
right stuff,1
wonderful cinematography naturalistic act,1
high concept film,1
sleepwalk through vulgarity sequel can refuse,0
with no reason,0
just about of film confuse on one level another make ararat far more demanding need,0
invigorate surreal resonant,1
chateau sense of light heartedness make attractive throughout,1
have passion material,1
maybe formula filmmaking but nothing wrong with if film well craft one,1
movie can not get sufficient distance leroy,0
romanticize rendering,1
terrific rachel,1
of special effect run gamut cheesy cheesy cheesy,0
bad film man have make about woman since valley of doll,0
come already have recycle more time would care count,0
with awe,1
joyous romp of film,1
nonstop hoot,1
partisan sabotage,0
gory scene of torture self mutilation,0
just recent argentine film son of bride remind feel good movie can still show real heart,1
equally spoof celebrate more outre aspect of black culture dorki aspect of white culture even point out how inseparable two,1
package which fascinating timely content come wrap disappointingly generic,0
obscenely bad dark comedy so crass,0
naomi watts terrific rachel petite frame vulnerable persona emphasise plight isolation,1
exciting,1
schticky,0
good way,1
of most flamboyant female comic_strip,1
squareness would make darling of many kid family orient cable channel,1
less movie appalling odoriferous thing so,0
film special,1
of amazing spider man,1
stomach turning violence,0
could use little more humanity,0
not everything,0
acquire undeniable entertainment value slight pale broomfield continue force on people into situation would make less man run cover,1
slow move police procedural thriller,0
bad idea frame one,0
terrific sweaty palmed fun,1
very funny joke,1
volletta wallace maternal fury,0
complex story,1
atop wooden dialogue,0
progress such low key manner risk monotony,0
burn strong film since brother mcmullen,1
can not miss,1
dover kosashvili outstanding feature debut so potent,1
of good short story write,1
seek excitement manufacture high drama,0
feeble comedy,0
insult every family,0
essentially empty,0
of film problem,0
make big fat greek wedding look like apartheid drama,0
not even half interest,0
never achieve popularity of big fat greek wedding,0
auto focus work unusual biopic document of male swinger playboy era,1
right now merely signpost mark slow linger death of imagination,0
appeal character quirk forgive still serious problem,1
often linger just long on irrelevant on engaging which gradually turn what time,0
energy take describe how bad,0
wait see,0
could easily call good korean film of,1
large ever historical canvas,1
solid cast assure direction complete lack of modern day irony,1
comatose ballerina,0
so important,1
of road where thematic irony too obvious sexual politic too smug,0
formulaic equation,0
work with humor warmth intelligence capture life interestingly live,1
deserve pass grade,1
like movie,1
simply stupid irrelevant,0
weave element of plot powerfully evocative mood combine heated sexuality with haunt sense of malaise,1
heavy handed indictment of parental failing,0
feel performance across board,1
seem weird distance,0
have finally make movie not just offensive,1
casual fun,1
plod mess,0
weird thing about santa clause purportedly child movie nothing engage child emotionally,0
film intimate camera work,1
will find wish another movie,0
of dishonesty,0
bestial,0
loose collection of not so funny gag scatter moment of lazy humor,0
prove more distressing suspenseful,0
crackle,1
fairly revealing study of two main character,1
high drama disney style,1
may more genial ingenious but get job do,1
good action good acting good dialogue good pace good cinematography,1
bully of husband,0
gaghan have throw every suspenseful cliché book nonsensical story,0
dark element of misogyny unprovoked violence suffocate illumination create two daughter,0
ooze chilling heart warm,1
stale retread,0
film teem life on reef,1
already thin story boil down survive invader seek existent anti virus,0
quite endearing,1
with few gag break tedium,0
overbearing,0
deep deception,0
thing will turn out okay,1
paranoid claustrophobia of submarine movie with unsettling spookiness of supernatural,1
grand,1
good natured fun find film like tremor,1
better,1
transfix audience,1
move important,1
dope,1
avid interest,1
bless with two fine nuanced lead performance,1
true star,1
hamper no paralyzed self indulgent script,0
expressly idiot who do not care what kind of sewage shovel into mental gullet simulate sustenance,0
haunt what punk rock music use what video medium could use more of spirit perception conviction,1
which nurse plot hole gape enough pilot entire olympic swim team through,0
charming well act,1
bad blend,0
guy dress genre,1
director claude chabrol have become master of innuendo,1
riveting,1
excruciatingly unfunny pitifully unromantic,0
war movie,0
inuit masterpiece,1
oscar,1
cliché laden screenplay,0
girlfriend bad wife bad,0
provide much more insight,1
easy bore abc,0
what wish,1
fluid mesmerizing,1
vivid thoughtful unapologetically raw coming of age tale full of sex drug rock roll,1
testament film considerable charm succeed entertaining despite play out like feature length sitcom replete with stereotypical familial quandary,1
ransack,0
lack charisma ability carry film on admittedly broad shoulder,0
book report,0
leave theater,0
spousal abuse,0
director with fake backdrop stately pacing,0
diverse astonishingly articulate cast of palestinian israeli child,1
anyone who suffer through film,0
one carry strong sense of humanism,1
brilliant touch dragon lose fire midway nearly flicker out perfunctory conclusion,0
another entertaining romp robert rodriguez,1
direct with purpose finesse england roger mitchell who handily make move pleasing relatively lightweight commercial fare such notting hill commercial fare with real thematic heft,1
will probably video store christmas,0
funny triumphant,1
underachiever,0
film of idea wry comic mayhem,1
of moviegoer real character compelling plot,1
dime store rumination,0
worth,1
reality show reality show god sake,0
whatever movie sentimental hypocritical lesson about sexism true color come out various wet shirt shower scene,0
will cry money back,0
enthral,1
bad part where nothing happen part where something happen,0
like max rothman future do not work,0
of quirky character engaging story,1
have throw together feel of summer camp talent show hastily write underrehearsed arbitrarily plot,0
make kahlo art living,1
bad run,0
may just end up try drown lake afterwards,0
many pleasure,1
worth search out,1
time with cast movie hopeless,0
time bomb,0
balance traditional modern story together manner one never overwhelm other,1
surface histrionic fail compensate paper thin characterization facile situation,0
plumb uncharted depth of stupidity incoherence sub sophomoric sexual banter,0
sour taste one mouth,0
decent performance,1
familiar predictable of might well have come xerox machine rather writer director franc,0
headline fresh thriller set among orthodox jews on west bank joseph cedar time of favor manage not only find compelling dramatic mean of address complex situation do so without compromise complexity,1
responsible one of bad movie of one year,0
appalling shamelessly manipulative contrived,0
movie love,1
human darkness,0
understand idea of exploit molestation laugh funny not actually exploit,0
too loud shout insult screen,0
long way orwell dark intelligent warning cry,0
come of age film avoid cartoonish clichés sneer humor of genre provide fresh view of old type,1
perfect movie,1
ardently waste viewer time with gobbler like,0
oscar sweep franchise predecessor,1
set out with no pretension deliver big time,1
see how many time can work word radical suck into sentence,0
give enough feel good about,1
unexpectedly insightful,1
allen romantic comedy so pertinent endure,1
extraordinary film not least,1
doubt,0
maudlin,0
with wisdom humor of subject,1
party hearty teen flick scald like acid,0
wan thinly sketch story,0
provide funny moment oddly sweet comedy about jokester highway patrolman,1
romantic comedy ask question how much souvlaki can take indigestion set,0
again dazzle delight,1
beneath familiar funny surface far big far more meaningful story one which little green man come earth harvesting purpose,1
aspire more another good man clone weave theme throughout funny film,1
impress skillfully assemble highly polished professional adaptation just about chilling unsettling manhunter,1
failure construct story with even trace of dramatic interest,0
but also come with laziness arrogance of thing already know win,0
frightful vanity film no doubt pay off what debt miramax feel owe benigni,0
laugh,1
future lizard endeavor will need adhere more closely law of laughter,0
philosophical void,0
unlikable character self conscious sense,0
intelligence invention,1
hot on hardwood prove once again man drag not of funny,0
hopelessly juvenile,0
shakespearean depth breadth,1
unique directing style,1
require give comic slugfest some heart,0
feel more like non stop cry attention,0
hip hop beat,1
feel more like literary conceit flesh blood human,0
no explanation,0
funny,1
chilly remote emotionally distant piece so dull tagline should,0
start off witty sophisticated,1
bargain basement european pickup,0
but what really set film apart debrauwer refusal push easy emotional button,1
shine on character direction intelligently accomplish,1
tap into primal fear of young people try cope with mysterious brutal nature of adult,1
lead group of talented friend astray,1
just weirdness sake of weirdness where human nature should ingratiating just grate,0
gentle mesmerizing portrait,1
genial conceit one of rare picture root throughout,1
draw audience into unexplainable pain eccentricity attach concept of loss,1
splice together bit piece of midnight run hour matter shrek,0
so busy make reference other film try other film fail have heart mind humor of own,0
lack compassion good natured humor level of insight make eyre first film something of sleeper success,0
handle most unexpected way,1
eternally devoted insanity of black will have intermittently good time,1
obscenely bad,0
devastatingly,0
do not see point,0
come off like bad imitation of bard,0
excite imagination tickle funny bone,1
one of strength,1
of masterpiece,1
into dream hispanic role with tooth clench gusto,1
stiff just plain bad,0
make life count,1
jolt laugh audience,1
delightful stimulus,1
have no point,0
of isolation frustration,0
win shot,1
of music comic antic but through perverse pleasure of watch disney scrape bottom of own cracker barrel,0
feel guilty miracle of miracle movie do flip flop,1
lewis,1
no other reason why anyone should bother remember,0
bogdanovich put history perspective via kirsten dunst remarkable performance showcase davies young woman of great charm generosity diplomacy,1
father cliché,0
domestic tension unhappiness,0
effort sincere result honest but film so bleak hardly watchable,0
call good korean film of,1
one of good rock,1
force watch people do unpleasant thing other,1
of holiday box office pie,1
inexpressible drab wannabe,0
hail of bullet none of which ever seem hit,0
like extended open ended poem traditionally structured story,1
about convincing other arnie musclefest but have little too much resonance with real world event,0
hate,0
mesmerise,1
people who love paradiso will prefer new version,1
lot of energy,1
success on patient viewer,1
while tattoo borrow heavily seven silence of lamb manage maintain level of sophisticated intrigue human scale character suck audience,1
may burn strong film since brother mcmullen,1
turn down,0
timely tongue cheek,1
undramatic,0
pile of useless actioner,0
morton deserve oscar nomination,1
weirdly engaging unpredictable character piece,1
efficiency affection period,1
manage accomplish what few sequel can equal original some way even better,1
do not work,0
not merely offensive,0
tell story about vietnam war pathology set,1
irrigate soul,1
hint of humor,1
with big heart,1
rollicking adventure matey regardless of age,1
most immediate most obvious pleasure,1
laugh aplenty bonus viewer do not have worry about subject fart urine fece semen of other foul substance have overrun modern day comedy,1
one of rare film seem though write no one but somehow manage convince almost everyone put on screen just,1
make decent intro documentary,1
make see familiar issue like racism homophobia fresh way,1
film right over edge kill every sense of believability,0
beyond lame satire teddy bear picnic rank among most pitiful directing debut esteemed writer actor,0
emotional seesawing,0
movie with courage over top movie do not care about stupid,1
target audience have not graduate junior high school,0
intricately structured well realize drama,1
embrace,1
film celluloid litmus test intellectual emotional pedigree of date giant step backward director admire,0
meditation on faith madness frailty blood curdle stuff,1
pretty listless collection,0
other oscar sweep franchise predecessor,1
almost everyone grow up believe family must look like addams family everyone look,1
have call freddy get molest dog,0
moody male hustler,0
uselessly redundant shamelessly money grubbing most third rate horror sequel,0
film fill with humorous observation about general absurdity of modern life see through eye outsider but deftly manage avoid many of condescending stereotype so often plague film deal with mentally ill,1
which mostly bore,0
entertaining mix of period drama flat out farce should please history fan,1
suspect will bored watch morvern callar character,0
problem character reveal universal involve film well delightful cast so breezy pretty gifted really win heart,1
love movie,1
effort of star kline lend some dignity dumb story naught,0
flat scruffy sand of titular community,0
liberal dose of dark humor gorgeous exterior photography stable full of solid performance,1
badly edit often awkwardly direct suffer addition of wholly unnecessary pre credit sequence design give some of character back story,0
work smoothly,1
with creepy dead on performance,1
might want take reality check pay full ticket price see simone consider dvd rental instead,0
place pantheon of good of swashbuckler,1
satisfyingly unsettling ride,1
good job anyone,1
smart complicated,1
intimate unguarded moment of folk who live unusual home,0
pretty valuable day,1
certainly laudable movie deal with hot button issue comedic context but barbershop not funny should,0
only rip off aware of,0
beautiful watch,1
accentuate,1
no quarter anyone seek pull cohesive story out of hour run time,0
wonderful ensemble cast,1
endear,1
truly funny bit,1
painful,0
american beauty reek,0
clot with heavy handed symbolism dime store psychology endless scenic shot make minute seem twice long,0
without of sense of fun energy,0
cat meow,1
simply stupid irrelevant deeply,0
wonderland adventure stalker thriller,1
part of,1
cinema history only movie ever,1
come renowned indian film culture allow americans finally revel splendor,1
accomplish oscar winner,1
of underrated professional who deserve but rarely receive,1
find surprised how much care about story,1
time low,0
enjoy just,1
react feel part of grand location,1
deliver with such conviction hard not carry away,1
colorful vibrant introduction,1
slow parade of human frailty fascinate,1
famuyiwa feature deal with subject matter tasteful intelligent manner rather force endure every plot contrivance cliché riddle genre can offer,1
laugh,1
gradually sneak up on audience,1
photographic marvel,1
shockingly bad absolutely unnecessary,0
get vivid performance cast pull off some deft ally mcbeal style fantasy sequence,1
result however well intentione ironically just sort of disposable kitchen sink homage illustrate why whole so often less sum of part today hollywood,0
while not every taste often very funny collegiate gross out comedy long way toward restore luster of national lampoon film franchise too long reduce direct video irrelevancy,1
wow factor,1
hashiguchi cover territory with wit originality suggest with fourth feature first release major director emerge world cinema,1
brazil like hyper real satire,1
low on suspense payoff,0
find scathing portrayal of powerful entity strangle life out of people who want believe most,1
absolute delight audience,1
would tax einstein brain,0
first sign of trouble,0
can not believe anyone would really buy stuff,0
moonlight mile should strike nerve many,1
if ever such dependable concept botch execution,0
wedding feel bit anachronistic,0
lose translation time,0
revelatory performance,1
pianist like surgeon mend broken heart very meticulously but without passion,0
remain oddly detached,0
more complex honest anything represent hollywood film,1
nifty premise,1
vein,1
wonderfully lush morvern callar pure punk existentialism,1
down with ship leaky,0
earnest movie,1
effective enough,1
show well think stunt car chase have not see time,1
make film more silly scary like some sort of martha stewart decorating program run amok,0
rapid pace,1
still fun enjoyable,1
lazy exercise bad filmmaking,0
thing virtually unwatchable,0
also undeniably exceedingly clever,1
would ever work mcculloch production again if look how movie turn out,0
entertainment destination general public,1
have ever see constantly pull rug underneath see thing new side plunge deeply get more intense,1
england roger mitchell who handily make move please,1
endure strength of woman,1
surprisingly faithful,1
numerous scene,1
exaggerated,0
take really long slow dreary time,0
improve upon first,1
might have make exhilarating,1
widowmaker great yarn,1
humorless,0
thank,1
just because walk remember,1
bite,0
amount little more punishment,0
humor recognizably plympton,1
likeable thank cast cuisine quirky tune,1
make piece story together frustrating difficult,0
fascinating compelling story,1
film hero bore innocence soon become questionable kind of inexcusable dumb innocence,0
fascinating dark thriller keep hooked on delicious pulpiness of lurid fiction,1
whimsical relevant today,1
see,1
tackle difficult subject of grief loss,1
grotesque narcissism,0
funny sad,1
arguably most accomplished work date hong kong versatile stanley kwan,1
wear down,0
so stupid,0
refreshing,1
what get feardotcom more like something bad clive barker movie,0
have create brilliant motion picture,1
clumsy cliché of ugly american,0
beautiful food entrée,1
slice of life very different own yet instantly recognizable,1
passive aggressive psychology of dependence,0
story end just can not tear away character,1
do not live up style,0
scene of cinematic perfection,1
love liza tale,1
type of film about grow up do not see often enough day realistic urgent,1
first movie try smart kinda dumb,0
see delightful comedy,1
bad sense,0
propel act,1
present with action movie actually have brain,1
human nature goofball movie way malkovich but try too hard,0
overplay,0
should poignant,0
feel capable of charm masse with star power pop induce score sentimental moment have become spielberg trademark,1
visceral dangerously honest revelation about man machine behind curtain of planet,1
kirshner monroe seem contest see who can out bad act other,0
mug shot,0
barbarism of ethnic cleansing,0
another masterpiece,1
incredibly layered stylistic film,1
classic story,1
dare,1
will not feel cheat high infidelity of unfaithful,1
haute,0
convey strong sense of girl environment,1
ugly,0
journey span nearly three decade of bittersweet camaraderie history which feel truly know what make holly marina tick,1
insight,1
well intentione effort still too burden actor offbeat sensibility earnest emotional core emerge with degree of accessibility,0
passionate tumultuous affair,1
kind of under inspire overblown enterprise give hollywood sequel bad name,0
enjoyable experience,1
have more interesting dare say thematically complex bowel movement long on shelf point shoot exercise gimmicky crime drama,0
great attention parent particularly fateful father emotional evolution of two bewitched adolescent,1
well cram earplug,0
who simply tired,0
little nuance perhaps have escape director mark romanek self conscious scrutiny happen finally get under skin,0
convincing radiant,1
smart dark,1
emaciated flick,0
jim brown treat woman dumb credulous unassuming subordinate subject,0
point thing explode into flame,0
jolt laugh audience,1
herald something special,1
have not escape rut dig last one,0
perfect performance,1
cinema verite speculation on assassination of john kennedy may have inspire blair witch but take technique into such fresh territory film never feel derivative,1
unsuccessful attempt movie,0
sometimes confuse,0
superlative,1
buy soundtrack,1
sharply comic surprisingly touching,1
soap opera quality twist last minute almost put kibosh on what otherwise sumptuous work of movie imagination,0
change hackneyed concept when come dream up romantic comedy,0
folly of superficiality,0
lumber load,0
minute commercial nba property,0
though many of guy less adorable,0
peel layer character may well not have exist on paper,1
deadly dull,0
inferior,0
big hearted frequently,1
strike deep chord of sadness,1
laugh aplenty,1
schaeffer not film which may why work well do,1
loud ugly irritate movie,0
impressive sight sound of wondrous beat world have offer,1
scorpion king more ably,1
make pretty good team,1
lag badly middle lurch not very funny comedy unconvincing dramatic some last minute action strongly reminiscent of run lola run,0
do great combination act narrator jewish grandmother subject take through film part biography part entertainment part history,1
bill plympton animation master,1
impossible task,0
good way,1
watch make time fast rather,1
very good picture,1
lack idol energy passion detail,0
church meeting,1
create emotionally complex dramatically satisfying heroine,1
compassionate,1
will find character foible timeless unique perspective,1
hugely entertaining start finish feature fall grace still leave shockwave,1
ebullient affection,1
somehow snag oscar nomination,0
manage show gentle humane side of middle eastern world politic,1
realistic,1
nicely do,1
summer of good stuff,1
satire just too easy genuinely satisfying,0
sustain,1
neither smart,0
fare with enough creative energy wit entertain age,1
movie powerful provocative,1
time literally stop on dime try so hard cool clockstopper but do not mean still will not feel like long minute of movie life,0
sharp edge deep vein of sadness,1
who do not entirely get godard distinctive discourse will still come away with sense of reserved but existential poignancy,1
not only film soprano gag incredibly dated unfunny also demonstrate how desperate maker of do cash sequel,0
